Displacement [mm] - FD curve	Force [N] - FD curve	
2.29075	0.133843	
2.288	0.133537	
2.28525	0.133435	
2.2825	0.133231	
2.27975	0.133028	
2.277	0.132824	
2.27425	0.132722	
2.2715	0.132416	
2.26875	0.132314	
2.266	0.132008	
2.26325	0.131906	
2.2605	0.131702	
2.25775	0.131498	
2.255	0.131295	
2.25225	0.131193	
2.2495	0.130887	
2.24675	0.130785	
2.244	0.130479	
2.24125	0.130377	
2.2385	0.130173	
2.23575	0.129969	
2.233	0.129766	
2.23025	0.129664	
2.2275	0.129358	
2.22475	0.129256	
2.222	0.128848	
2.21925	0.128848	
2.2165	0.128746	
2.21375	0.12844	
2.211	0.128236	
2.20825	0.128135	
2.2055	0.127829	
2.20275	0.127727	
2.2	0.127523	
2.19725	0.127319	
2.1945	0.127115	
2.19175	0.126911	
2.189	0.126707	
2.18625	0.126606	
2.1835	0.126402	
2.18075	0.126198	
2.178	0.126096	
2.17525	0.12579	
2.1725	0.125688	
2.16975	0.125382	
2.167	0.12528	
2.16425	0.125076	
2.1615	0.124873	
2.15875	0.124771	
2.156	0.124465	
2.15325	0.124261	
2.1505	0.124159	
2.14775	0.123955	
2.145	0.123751	
2.14225	0.123649	
2.1395	0.123344	
2.13675	0.123242	
2.134	0.122936	
2.13125	0.122834	
2.1285	0.122732	
2.12575	0.122426	
2.123	0.122324	
2.12025	0.122222	
2.1175	0.121916	
2.11475	0.121814	
2.112	0.121509	
2.10925	0.121407	
2.1065	0.121203	
2.10375	0.120999	
2.101	0.120795	
2.09825	0.120693	
2.0955	0.120489	
2.09275	0.120285	
2.09	0.120082	
2.08725	0.119878	
2.0845	0.119776	
2.08175	0.119572	
2.079	0.119368	
2.07625	0.119266	
2.0735	0.11896	
2.07075	0.118858	
2.068	0.118654	
2.06525	0.118451	
2.0625	0.118349	
2.05975	0.118145	
2.057	0.117941	
2.05425	0.117839	
2.0515	0.117533	
2.04875	0.117431	
2.046	0.117329	
2.04325	0.117023	
2.0405	0.116922	
2.03775	0.116616	
2.035	0.116514	
2.03225	0.116412	
2.0295	0.116106	
2.02675	0.116004	
2.024	0.1158	
2.02125	0.115596	
2.0185	0.115494	
2.01575	0.115189	
2.013	0.115087	
2.01025	0.114679	
2.0075	0.114067	
2.00475	0.113456	
2.002	0.112232	
1.99925	0.111519	
1.9965	0.110907	
1.99375	0.109684	
1.991	0.109072	
1.98825	0.108461	
1.9855	0.107136	
1.98275	0.106422	
1.98	0.10581	
1.97725	0.104485	
1.9745	0.103874	
1.97175	0.10265	
1.969	0.101937	
1.96625	0.101325	
1.9635	0.100102	
1.96075	0.0993884	
1.958	0.0987768	
1.95525	0.0975535	
1.9525	0.0969419	
1.94975	0.0956167	
1.947	0.0950051	
1.94425	0.0943935	
1.9415	0.0931702	
1.93875	0.0925586	
1.936	0.091947	
1.93325	0.0907238	
1.9305	0.0900102	
1.92775	0.088787	
1.925	0.0881753	
1.92225	0.0874618	
1.9195	0.0862385	
1.91675	0.085525	
1.914	0.0849134	
1.91125	0.0835882	
1.9085	0.0828746	
1.90575	0.0816514	
1.903	0.0809378	
1.90025	0.0803262	
1.8975	0.079001	
1.89475	0.0782875	
1.892	0.0776758	
1.88925	0.0762487	
1.8865	0.0755352	
1.88375	0.0749235	
1.881	0.0735984	
1.87825	0.0728848	
1.8755	0.0715596	
1.87275	0.070948	
1.87	0.0703364	
1.86725	0.0690112	
1.8645	0.0683996	
1.86175	0.067686	
1.859	0.0663609	
1.85625	0.0656473	
1.8535	0.0644241	
1.85075	0.0637105	
1.848	0.0630989	
1.84525	0.0616718	
1.8425	0.0609582	
1.83975	0.0602446	
1.837	0.0589195	
1.83425	0.0583078	
1.8315	0.0575943	
1.82875	0.056371	
1.826	0.0557594	
1.82325	0.0544343	
1.8205	0.0538226	
1.81775	0.053211	
1.815	0.0519878	
1.81225	0.0513761	
1.8095	0.0507645	
1.80675	0.0495413	
1.804	0.0488277	
1.80125	0.0481142	
1.7985	0.0468909	
1.79575	0.0461774	
