Freq.	I(V1)	I(V1)/(2*pi*freq)	I(V2)	I(V2)/(2*pi*freq)
1.24451461177138e+002	(-4.30514162707873e+001dB,-9.00004028267717e+001°)	(-1.00915013637950e+002dB,-9.00004028267717e+001°)	(-9.80427956616859e+001dB,8.99995953008919e+001°)	(-1.55906393028848e+002dB,8.99995953008919e+001°)
1.24738351424294e+002	(-4.30255319674197e+001dB,-9.00004040292738e+001°)	(-1.00909129334582e+002dB,-9.00004040292738e+001°)	(-9.80168841839247e+001dB,8.99995940940694e+001°)	(-1.55900481551087e+002dB,8.99995940940694e+001°)
1.25025903021771e+002	(-4.29996164826522e+001dB,-9.00004052368215e+001°)	(-1.00903213849814e+002dB,-9.00004052368215e+001°)	(-9.79909413991579e+001dB,8.99995928821913e+001°)	(-1.55894538766320e+002dB,8.99995928821913e+001°)
1.25314117494141e+002	(-4.29736696298212e+001dB,-9.00004064494475e+001°)	(-1.00897266996983e+002dB,-9.00004064494475e+001°)	(-9.79649671201403e+001dB,8.99995916652249e+001°)	(-1.55888564487303e+002dB,8.99995916652249e+001°)
1.25602996369487e+002	(-4.29476912209176e+001dB,-9.00004076671844e+001°)	(-1.00891288588080e+002dB,-9.00004076671844e+001°)	(-9.79389611582787e+001dB,8.99995904431376e+001°)	(-1.55882558525441e+002dB,8.99995904431376e+001°)
1.25892541179416e+002	(-4.29216810665747e+001dB,-9.00004088900654e+001°)	(-1.00885278433737e+002dB,-9.00004088900654e+001°)	(-9.79129233236196e+001dB,8.99995892158960e+001°)	(-1.55876520690782e+002dB,8.99995892158960e+001°)
1.26182753459066e+002	(-4.28956389760555e+001dB,-9.00004101181239e+001°)	(-1.00879236343218e+002dB,-9.00004101181239e+001°)	(-9.78868534248365e+001dB,8.99995879834669e+001°)	(-1.55870450791999e+002dB,8.99995879834669e+001°)
1.26473634747114e+002	(-4.28695647572407e+001dB,-9.00004113513936e+001°)	(-1.00873162124403e+002dB,-9.00004113513936e+001°)	(-9.78607512692180e+001dB,8.99995867458165e+001°)	(-1.55864348636380e+002dB,8.99995867458165e+001°)
1.26765186585784e+002	(-4.28434582166162e+001dB,-9.00004125899086e+001°)	(-1.00867055583778e+002dB,-9.00004125899086e+001°)	(-9.78346166626547e+001dB,8.99995855029108e+001°)	(-1.55858214029817e+002dB,8.99995855029108e+001°)
1.27057410520853e+002	(-4.28173191592597e+001dB,-9.00004138337031e+001°)	(-1.00860916526422e+002dB,-9.00004138337031e+001°)	(-9.78084494096267e+001dB,8.99995842547153e+001°)	(-1.55852046776789e+002dB,8.99995842547153e+001°)
