Freq.	-V(n001)/I(V2)	-V(n023)/I(V1)
1.82000000000000e+002	(1.36261748409584e+002dB,-8.99999999342070e+001°)	(1.28189104615880e+002dB,8.99999994120667e+001°)
1.83000000000000e+002	(1.36202390723366e+002dB,-8.99999999337259e+001°)	(1.28248443473999e+002dB,8.99999994144699e+001°)
1.84000000000000e+002	(1.36143206112743e+002dB,-8.99999999332425e+001°)	(1.28307609153321e+002dB,8.99999994168396e+001°)
1.85000000000000e+002	(1.36084191333847e+002dB,-8.99999999327567e+001°)	(1.28366604897706e+002dB,8.99999994191762e+001°)
1.86000000000000e+002	(1.36025343183540e+002dB,-8.99999999322685e+001°)	(1.28425433910292e+002dB,8.99999994214803e+001°)
1.87000000000000e+002	(1.35966658498365e+002dB,-8.99999999317778e+001°)	(1.28484099354533e+002dB,8.99999994237522e+001°)
1.88000000000000e+002	(1.35908134153550e+002dB,-8.99999999312846e+001°)	(1.28542604355202e+002dB,8.99999994259925e+001°)
1.89000000000000e+002	(1.35849767062026e+002dB,-8.99999999307889e+001°)	(1.28600951999369e+002dB,8.99999994282015e+001°)
1.90000000000000e+002	(1.35791554173463e+002dB,-8.99999999302907e+001°)	(1.28659145337366e+002dB,8.99999994303797e+001°)
1.91000000000000e+002	(1.35733492473322e+002dB,-8.99999999297900e+001°)	(1.28717187383721e+002dB,8.99999994325274e+001°)
1.92000000000000e+002	(1.35675578981983e+002dB,-8.99999999292866e+001°)	(1.28775081118064e+002dB,8.99999994346452e+001°)
1.93000000000000e+002	(1.35617810753804e+002dB,-8.99999999287807e+001°)	(1.28832829486031e+002dB,8.99999994367334e+001°)
1.94000000000000e+002	(1.35560184876280e+002dB,-8.99999999282721e+001°)	(1.28890435400127e+002dB,8.99999994387924e+001°)
1.95000000000000e+002	(1.35502698469174e+002dB,-8.99999999277608e+001°)	(1.28947901740585e+002dB,8.99999994408225e+001°)
1.96000000000000e+002	(1.35445348683706e+002dB,-8.99999999272468e+001°)	(1.29005231356193e+002dB,8.99999994428242e+001°)
1.97000000000000e+002	(1.35388132701713e+002dB,-8.99999999267301e+001°)	(1.29062427065110e+002dB,8.99999994447977e+001°)
1.98000000000000e+002	(1.35331047734850e+002dB,-8.99999999262106e+001°)	(1.29119491655672e+002dB,8.99999994467436e+001°)
1.99000000000000e+002	(1.35274091023852e+002dB,-8.99999999256883e+001°)	(1.29176427887154e+002dB,8.99999994486620e+001°)
2.00000000000000e+002	(1.35217259837721e+002dB,-8.99999999251633e+001°)	(1.29233238490548e+002dB,8.99999994505534e+001°)
2.01000000000000e+002	(1.35160551473009e+002dB,-8.99999999246353e+001°)	(1.29289926169303e+002dB,8.99999994524180e+001°)
2.02000000000000e+002	(1.35103963253076e+002dB,-8.99999999241045e+001°)	(1.29346493600055e+002dB,8.99999994542563e+001°)
2.03000000000000e+002	(1.35047492527379e+002dB,-8.99999999235707e+001°)	(1.29402943433349e+002dB,8.99999994560684e+001°)
2.04000000000000e+002	(1.34991136670778e+002dB,-8.99999999230340e+001°)	(1.29459278294329e+002dB,8.99999994578548e+001°)
2.05000000000000e+002	(1.34934893082815e+002dB,-8.99999999224943e+001°)	(1.29515500783440e+002dB,8.99999994596157e+001°)
2.06000000000000e+002	(1.34878759187095e+002dB,-8.99999999219515e+001°)	(1.29571613477088e+002dB,8.99999994613514e+001°)
2.07000000000000e+002	(1.34822732430577e+002dB,-8.99999999214058e+001°)	(1.29627618928309e+002dB,8.99999994630622e+001°)
2.08000000000000e+002	(1.34766810282952e+002dB,-8.99999999208569e+001°)	(1.29683519667411e+002dB,8.99999994647484e+001°)
2.09000000000000e+002	(1.34710990235996e+002dB,-8.99999999203049e+001°)	(1.29739318202614e+002dB,8.99999994664102e+001°)
